epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.5319,1.24391,4.02088,1.36858,0.0031,0.92857,0.14611,0.06768,1.16394,4.17998,1.53194,6e-05,6e-05,6e-05
2,100.252,1.1361,3.59686,1.25197,0.00333,1,0.4488,0.30982,0.80024,3.72761,0.96755,9.38e-05,9.38e-05,9.38e-05
3,146.158,0.9831,2.98311,1.07327,0.00333,1,0.67441,0.52796,0.71814,3.47373,0.89732,7.48e-05,7.48e-05,7.48e-05
